Date,Close,Open,High,Low,Volume (in Billion)
2000-06-20,"1,507.10","1,498.00","1,518.05","1,497.05",32.05
2000-06-21,"1,475.15","1,524.05","1,539.10","1,470.40",30.55
2000-06-22,"1,488.25","1,475.65","1,491.40","1,461.30",42.45
2000-06-23,"1,472.20","1,487.85","1,499.85","1,462.75",62.81
2000-06-26,"1,451.65","1,472.15","1,472.15","1,431.25",28.89
2000-06-27,"1,454.30","1,452.80","1,467.15","1,448.95",41.44
2000-06-28,"1,470.00","1,453.70","1,474.70","1,445.60",25.72
2000-06-29,"1,492.35","1,471.35","1,505.75","1,471.35",41.36
2000-06-30,"1,471.45","1,490.20","1,490.65","1,462.45",39.15
2000-07-03,"1,495.25","1,473.45","1,498.70","1,473.45",39.58
2000-07-04,"1,511.30","1,496.15","1,516.80","1,494.80",37.92
2000-07-05,"1,526.05","1,511.50","1,530.90","1,511.50",51.28
2000-07-06,"1,516.80","1,525.15","1,525.15","1,504.05",42.00
2000-07-07,"1,517.60","1,517.00","1,528.15","1,513.40",40.34
2000-07-10,"1,509.65","1,518.15","1,523.20","1,502.70",40.34
2000-07-11,"1,518.55","1,510.55","1,523.10","1,506.15",47.33
2000-07-12,"1,533.35","1,518.70","1,537.10","1,507.95",41.65
2000-07-13,"1,522.60","1,535.55","1,564.75","1,513.65",47.99
2000-07-14,"1,509.75","1,522.20","1,534.35","1,505.90",50.97
2000-07-17,"1,479.65","1,509.25","1,512.25","1,475.15",39.54
2000-07-18,"1,463.10","1,479.30","1,482.90","1,458.60",39.63
2000-07-19,"1,435.80","1,464.55","1,468.55","1,432.85",38.46
2000-07-20,"1,424.20","1,434.95","1,443.25","1,416.00",44.96
2000-07-21,"1,397.25","1,424.90","1,435.20","1,394.30",47.90
2000-07-24,"1,317.75","1,397.05","1,397.05","1,310.85",41.61
2000-07-25,"1,348.90","1,317.35","1,363.45","1,269.25",52.15
2000-07-26,"1,318.25","1,350.80","1,371.80","1,315.15",35.75
2000-07-27,"1,338.05","1,317.00","1,342.75","1,291.30",41.44
2000-07-28,"1,333.80","1,337.70","1,359.40","1,327.95",44.54
2000-07-31,"1,332.85","1,333.30","1,343.65","1,317.30",28.94
2000-08-01,"1,326.85","1,332.85","1,344.50","1,322.60",32.54
2000-08-02,"1,331.90","1,323.70","1,333.85","1,312.25",30.38
2000-08-03,"1,321.25","1,330.70","1,339.40","1,319.00",37.08
2000-08-04,"1,318.55","1,320.25","1,333.15","1,302.65",38.82
2000-08-07,"1,310.80","1,319.70","1,321.70","1,299.90",33.74
2000-08-08,"1,345.60","1,312.10","1,348.25","1,311.15",38.05
2000-08-09,"1,344.95","1,345.95","1,363.95","1,341.05",44.99
2000-08-10,"1,328.00","1,345.25","1,360.40","1,325.15",44.33
2000-08-11,"1,310.75","1,328.15","1,328.15","1,306.60",36.41
2000-08-14,"1,317.90","1,312.25","1,321.55","1,295.45",43.86
2000-08-16,"1,351.45","1,319.35","1,354.95","1,319.35",40.97
2000-08-17,"1,341.40","1,351.50","1,363.05","1,334.95",53.41
2000-08-18,"1,358.05","1,342.00","1,360.65","1,339.05",48.69
2000-08-21,"1,370.25","1,358.75","1,374.50","1,358.75",49.04
2000-08-22,"1,381.20","1,370.75","1,394.90","1,370.75",52.20
2000-08-23,"1,386.05","1,381.60","1,398.90","1,376.90",61.61
2000-08-24,"1,386.95","1,386.30","1,390.45","1,374.90",44.51
2000-08-25,"1,381.25","1,387.35","1,396.10","1,377.75",50.25
2000-08-28,"1,369.85","1,379.60","1,383.45","1,368.25",37.28
2000-08-29,"1,367.70","1,368.65","1,373.55","1,360.65",38.51
2000-08-30,"1,375.95","1,369.90","1,384.85","1,369.80",43.64
2000-08-31,"1,394.10","1,376.50","1,397.30","1,375.90",41.75
2000-09-04,"1,427.75","1,395.95","1,433.15","1,395.95",59.12
2000-09-05,"1,428.25","1,428.05","1,434.65","1,420.90",46.66
2000-09-06,"1,435.35","1,430.90","1,444.45","1,421.00",55.57
2000-09-07,"1,439.75","1,434.70","1,450.20","1,424.35",50.58
2000-09-08,"1,450.05","1,440.60","1,453.15","1,440.60",48.95
2000-09-11,"1,456.35","1,449.35","1,469.00","1,448.95",48.90
2000-09-12,"1,467.65","1,457.10","1,470.55","1,447.80",44.77
2000-09-13,"1,456.15","1,467.65","1,482.00","1,452.60",40.90
2000-09-14,"1,445.30","1,456.75","1,466.65","1,437.85",48.93
2000-09-15,"1,417.20","1,443.25","1,451.05","1,411.55",48.42
2000-09-18,"1,354.35","1,416.05","1,416.05","1,352.10",44.61
2000-09-19,"1,317.00","1,351.80","1,361.70","1,295.30",61.40
2000-09-20,"1,342.90","1,317.80","1,351.10","1,311.10",42.01
2000-09-21,"1,329.85","1,341.65","1,347.40","1,325.75",37.26
2000-09-22,"1,266.45","1,329.10","1,329.10","1,261.20",53.88
2000-09-25,"1,292.55","1,268.40","1,305.10","1,268.40",42.39
2000-09-26,"1,267.90","1,292.90","1,298.25","1,261.00",46.21
2000-09-27,"1,292.55","1,267.45","1,299.00","1,249.35",49.80
2000-09-28,"1,266.40","1,292.40","1,302.75","1,260.80",60.96
2000-09-29,"1,271.65","1,267.30","1,284.15","1,264.40",49.22
2000-10-03,"1,282.00","1,270.75","1,288.15","1,254.35",53.47
2000-10-04,"1,297.80","1,281.45","1,300.05","1,275.80",42.23
2000-10-05,"1,284.75","1,296.10","1,306.45","1,282.50",46.46
2000-10-06,"1,285.00","1,284.35","1,287.85","1,262.65",51.77
2000-10-09,"1,267.30","1,285.05","1,286.35","1,264.20",35.06
2000-10-10,"1,238.95","1,268.70","1,272.75","1,230.05",48.90
2000-10-11,"1,201.90","1,232.85","1,234.10","1,193.80",50.47
2000-10-12,"1,206.25","1,201.30","1,214.35","1,185.10",58.85
2000-10-13,"1,176.75","1,205.70","1,205.70","1,167.50",55.25
2000-10-16,"1,175.45","1,177.85","1,228.80","1,173.35",55.53
2000-10-17,"1,158.05","1,174.30","1,174.30","1,140.60",60.52
2000-10-18,"1,136.00","1,157.05","1,157.05","1,122.80",46.52
2000-10-19,"1,166.15","1,135.65","1,171.50","1,108.20",67.02
2000-10-20,"1,172.00","1,166.20","1,202.70","1,166.20",67.68
2000-10-23,"1,143.95","1,171.75","1,172.15","1,141.45",48.68
2000-10-24,"1,152.45","1,143.00","1,155.35","1,132.90",48.20
2000-10-25,"1,183.90","1,158.20","1,190.40","1,157.25",61.46
2000-10-26,"1,186.30","1,182.80","1,188.20","1,176.60",14.45
2000-10-27,"1,178.70","1,186.95","1,192.90","1,171.85",42.73
2000-10-30,"1,167.15","1,178.75","1,185.80","1,164.25",38.38
2000-10-31,"1,172.75","1,167.20","1,175.60","1,155.15",46.35
2000-11-01,"1,200.80","1,178.25","1,203.85","1,177.10",57.07
2000-11-02,"1,224.85","1,201.25","1,226.35","1,199.75",67.71
2000-11-03,"1,242.05","1,225.00","1,249.20","1,225.00",76.27
2000-11-06,"1,240.25","1,242.15","1,261.40","1,236.65",71.32
2000-11-07,"1,246.75","1,239.00","1,249.10","1,232.35",52.94
2000-11-08,"1,266.80","1,246.65","1,277.25","1,246.65",75.24
2000-11-09,"1,269.95","1,266.75","1,275.55","1,255.95",61.83
2000-11-10,"1,239.55","1,271.35","1,271.40","1,237.50",62.55
2000-11-13,"1,208.05","1,239.35","1,239.35","1,199.95",56.91
2000-11-14,"1,242.85","1,207.20","1,246.90","1,207.05",71.32
